date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:57	23775/23775	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fde-5cdf%22	http://ecaidev.stagingrelease.com/img/frontend/discounts.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/discounts.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:00	19190/19190	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fde-4af6%22	http://ecaidev.stagingrelease.com/img/frontend/training.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/training.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:03	146925/146925	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:01%20GMT	http://ecaidev.stagingrelease.com/ecai/signin?p=1	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/signincff1.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:05	32600/32600	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fde-7f58%22	http://ecaidev.stagingrelease.com/img/frontend/insights.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/insights.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:06	129173/129173	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:05%20GMT	http://ecaidev.stagingrelease.com/ecai/compareindividual	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/compareindividual.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:13	146925/146925	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:07%20GMT	http://ecaidev.stagingrelease.com/ecai/signin?p=2	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/signin905b.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:13	119717/119717	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:08%20GMT	http://ecaidev.stagingrelease.com/ecai/compareseller	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/compareseller.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:19	121111/121111	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:15%20GMT	http://ecaidev.stagingrelease.com/ecai/compareservice	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/compareservice.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:19	146925/146925	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:14%20GMT	http://ecaidev.stagingrelease.com/ecai/signin?p=3	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/signin2207.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:25	146925/146925	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:21%20GMT	http://ecaidev.stagingrelease.com/ecai/signin?p=4	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/signin5c7e.html	(from http://ecaidev.stagingrelease.com/ecai)
